1,Frango,186,777,63.2,22.1,10.1,1.7,1.7,1.5,0,0,0,0.2,0.7,2.4,3.7,1.7,0.0,1.7,78,0.03,30,147,0.59,0.80,0.12,0.14,11,6.7,4.1,0.43,0.23,9,20,1.96,484,414,29,191,24,1.3,0.8
2,Massa,354,1482,10.1,12.4,1.8,70.0,76.9,2.2,0,0,67.8,0,5.1,0.4,0.3,1.1,0,1.0,0,0,0,0,0,0,0.24,0.040,4.7,2.5,2.2,0.14,0,0,19,0.60,5.0,161,25,159,35,1.2,1.0
3,Amendoim,571,2391,5.7,25.4,47.7,10.1,10.8,4.8,0,0,5.3,0,8.8,8.5,21.8,14.8,0,14.3,0,0,0,0,0,9.9,0.90,0.13,20,15,5.5,0.44,0,0,110,2.60,7.0,675,62,380,182,2.2,3.2
4,Maca,57,238,82.9,0.2,0.5,13.4,13.6,13.4,0.20,0,0,0,2.1,0.1,0,0.2,0,0.1,0,0.004,4.0,26,0,0.59,0.020,0.030,0.20,0.10,0.10,0.040,0,7.0,5.0,0.32,6.0,139,6.0,8.0,8.0,0.2,0
5,Aveia,360,1505,10.9,13.5,5.8,61.7,67.6,3.0,0,0,58.7,0,6.7,1.2,3.5,0.7,1.5,0.7,0,0,0,0,0,1.5,0.27,0.10,5.5,2.4,3.1,0.20,0,0,56,1.40,4.0,353,40,220,122,1.3,4.5
